序号,汉字,频度统计,频度顺序,频率,,
462,次,214857,183,0.1119%,,
1305,度,214376,184,0.1116%,,
53,门,212769,185,0.1108%,,
415,任,212485,186,0.1107%,,
1761,常,212309,187,0.1106%,,
398,先,210628,188,0.1097%,,
1639,海,209302,189,0.1090%,,
1693,通,209046,190,0.1089%,,
1716,教,208875,191,0.1088%,,
14,儿,207827,192,0.1082%,,
1488,原,207579,193,0.1081%,,
206,东,206238,194,0.1074%,,
573,声,206083,195,0.1073%,,
1922,提,205159,196,0.1068%,,
270,立,204985,197,0.1068%,,
47,及,202671,198,0.1055%,,
98,比,200645,199,0.1045%,,
634,员,200217,200,0.1043%,,
2228,解,200090,201,0.1042%,,
109,水,198933,202,0.1036%,,
449,名,198481,203,0.1034%,,
1463,真,198416,204,0.1033%,,
492,论,197165,205,0.1027%,,
262,处,194237,206,0.1012%,,
549,走,193619,207,0.1008%,,
54,义,193507,208,0.1008%,,
448,各,193435,209,0.1007%,,
10,入,192433,210,0.1002%,,
13,几,192355,211,0.1002%,,
36,口,191936,212,0.1000%,,
159,认,191866,213,0.0999%,,
694,条,191280,214,0.0996%,,
203,平,191267,215,0.0996%,,
700,系,190769,216,0.0994%,,
115,气,190687,217,0.0993%,,
2380,题,189921,218,0.0989%,,
1345,活,189876,219,0.0989%,,
2522,尔,189785,220,0.0988%,,
599,更,187378,221,0.0976%,,
641,别,186634,222,0.0972%,,
181,打,186146,223,0.0969%,,
63,女,185188,224,0.0964%,,
990,变,185121,225,0.0964%,,
234,四,184874,226,0.0963%,,
1375,神,184554,227,0.0961%,,
1331,总,184470,228,0.0961%,,
658,何,184335,229,0.0960%,,
221,电,183834,230,0.0957%,,
2236,数,183312,231,0.0955%,,
488,安,183210,232,0.0954%,,
103,少,183018,233,0.0953%,,
575,报,182411,234,0.0950%,,
27,才,181725,235,0.0946%,,
1408,结,181674,236,0.0946%,,
129,反,181385,237,0.0945%,,
964,受,180928,238,0.0942%,,
216,目,180827,239,0.0942%,,
87,太,180490,240,0.0940%,,
1988,量,180008,241,0.0937%,,
341,再,179607,242,0.0935%,,
2161,感,178383,243,0.0929%,,
1067,建,178289,244,0.0929%,,
265,务,176085,245,0.0917%,,
1797,做,175580,246,0.0914%,,
1720,接,175473,247,0.0914%,,
286,必,174963,248,0.0911%,,
329,场,173632,249,0.0904%,,
414,件,172895,250,0.0900%,,
157,计,171949,251,0.0895%,,
2312,管,170746,252,0.0889%,,
1939,期,169806,253,0.0884%,,
269,市,169522,254,0.0883%,,
840,直,169439,255,0.0882%,,
2404,德,168917,256,0.0880%,,
1608,资,168890,257,0.0880%,,
960,命,168358,258,0.0877%,,
38,山,168142,259,0.0876%,,
959,金,167912,260,0.0874%,,
1126,指,166865,261,0.0869%,,
587,克,166044,262,0.0865%,,
491,许,166034,263,0.0865%,,
1417,统,165820,264,0.0864%,,
89,区,164775,265,0.0858%,,
1257,保,164424,266,0.0856%,,
366,至,163582,267,0.0852%,,
166,队,162938,268,0.0849%,,
531,形,162049,269,0.0844%,,
749,社,159527,270,0.0831%,,
1252,便,159479,271,0.0831%,,
1050,空,158539,272,0.0826%,,
465,决,157959,273,0.0823%,,
1036,治,156904,274,0.0817%,,
1683,展,156759,275,0.0816%,,
68,马,155772,276,0.0811%,,
1247,科,155750,277,0.0811%,,
291,司,155229,278,0.0808%,,
83,五,154316,279,0.0804%,,
1726,基,153462,280,0.0799%,,
1766,眼,152079,281,0.0792%,,
173,书,151357,282,0.0788%,,
882,非,149915,283,0.0781%,,
393,则,149042,284,0.0776%,,
635,听,148988,285,0.0776%,,
245,白,148728,286,0.0775%,,
576,却,148679,287,0.0774%,,
1206,界,148438,288,0.0773%,,
356,达,147907,289,0.0770%,,
373,光,147639,290,0.0769%,,
1003,放,147600,291,0.0769%,,
2112,强,146665,292,0.0764%,,
757,即,146459,293,0.0763%,,
2217,像,145291,294,0.0757%,,
214,且,144597,295,0.0753%,,
1695,难,144597,296,0.0753%,,
338,权,144506,297,0.0753%,,
1210,思,144503,298,0.0753%,,
71,王,143948,299,0.0750%,,
1823,象,143453,300,0.0747%,,
736,完,143120,301,0.0745%,,
495,设,142742,302,0.0743%,,
312,式,142292,303,0.0741%,,
452,色,142231,304,0.0741%,,
2189,路,141812,305,0.0739%,,
289,记,139501,306,0.0727%,,
1150,南,139078,307,0.0724%,,
1213,品,138528,308,0.0721%,,
667,住,138503,309,0.0721%,,
647,告,138285,310,0.0720%,,
1326,类,138280,311,0.0720%,,
598,求,138216,312,0.0720%,,
1723,据,137990,313,0.0719%,,
2027,程,136962,314,0.0713%,,
208,北,136939,315,0.0713%,,
301,边,136277,316,0.0710%,,
358,死,136194,317,0.0709%,,
764,张,136087,318,0.0709%,,
1065,该,136053,319,0.0709%,,
461,交,135727,320,0.0707%,,
800,规,134528,321,0.0701%,,
33,万,134220,322,0.0699%,,
832,取,134102,323,0.0698%,,
821,拉,134051,324,0.0698%,,
1471,格,133986,325,0.0698%,,
1848,望,133145,326,0.0693%,,
1361,觉,132041,327,0.0688%,,
194,术,131634,328,0.0686%,,
1818,领,130993,329,0.0682%,,
331,共,128824,330,0.0671%,,
1971,确,128417,331,0.0669%,,
405,传,128186,332,0.0668%,,
369,师,128086,333,0.0667%,,
518,观,127796,334,0.0666%,,
1858,清,127716,335,0.0665%,,
133,今,126624,336,0.0659%,,
100,切,126391,337,0.0658%,,
1392,院,126115,338,0.0657%,,
283,让,125660,339,0.0654%,,
750,识,125220,340,0.0652%,,
1557,候,124865,341,0.0650%,,
1140,带,124619,342,0.0649%,,
501,导,124463,343,0.0648%,,
451,争,124420,344,0.0648%,,
537,运,123903,345,0.0645%,,
1546,笑,122902,346,0.0640%,,
64,飞,122290,347,0.0637%,,
143,风,121803,348,0.0634%,,
