序号,汉字,频度统计,频度顺序,频率,,
1141,草,44612,789,0.0232%,,
1819,脚,44529,790,0.0232%,,
2158,概,44501,791,0.0232%,,
1462,恶,44493,792,0.0232%,,
572,块,44475,793,0.0232%,,
1496,顿,44425,794,0.0231%,,
1892,敢,44338,795,0.0231%,,
485,守,44264,796,0.0231%,,
1635,酒,44069,797,0.0230%,,
696,岛,44056,798,0.0229%,,
227,央,44052,799,0.0229%,,
320,托,44052,800,0.0229%,,
158,户,43810,801,0.0228%,,
1491,烈,43751,802,0.0228%,,
1350,洋,43692,803,0.0228%,,
1477,哥,43620,804,0.0227%,,
1476,索,43365,805,0.0226%,,
1149,胡,43199,806,0.0225%,,
1914,款,43087,807,0.0224%,,
2393,靠,42988,808,0.0224%,,
746,评,42966,809,0.0224%,,
939,版,42853,810,0.0223%,,
1043,宝,42836,811,0.0223%,,
1598,座,42814,812,0.0223%,,
2055,释,42749,813,0.0223%,,
1994,景,42738,814,0.0223%,,
1493,顾,42735,815,0.0223%,,
723,弟,42706,816,0.0222%,,
2119,登,42687,817,0.0222%,,
946,货,42602,818,0.0222%,,
99,互,42579,819,0.0222%,,
239,付,42527,820,0.0221%,,
662,伯,42513,821,0.0221%,,
2344,慢,42506,822,0.0221%,,
872,欧,42504,823,0.0221%,,
1448,换,42292,824,0.0220%,,
1317,闻,42253,825,0.0220%,,
444,危,42080,826,0.0219%,,
482,忙,42026,827,0.0219%,,
1473,核,41944,828,0.0218%,,
2184,暗,41881,829,0.0218%,,
1084,姐,41762,830,0.0217%,,
130,介,41749,831,0.0217%,,
542,坏,41723,832,0.0217%,,
281,讨,41717,833,0.0217%,,
603,丽,41363,834,0.0215%,,
743,良,41167,835,0.0214%,,
712,序,41129,836,0.0214%,,
116,升,41105,837,0.0214%,,
1502,监,41082,838,0.0214%,,
1186,临,41068,839,0.0214%,,
1304,亮,41016,840,0.0214%,,
2498,露,40954,841,0.0213%,,
290,永,40936,842,0.0213%,,
907,呼,40709,843,0.0212%,,
895,味,40704,844,0.0212%,,
1768,野,40681,845,0.0212%,,
1399,架,40619,846,0.0212%,,
1707,域,40597,847,0.0211%,,
725,沙,40573,848,0.0211%,,
1711,掉,40541,849,0.0211%,,
1122,括,40519,850,0.0211%,,
1568,舰,40500,851,0.0211%,,
981,鱼,40452,852,0.0211%,,
443,杂,40265,853,0.0210%,,
1377,误,40196,854,0.0209%,,
2086,湾,40101,855,0.0209%,,
317,吉,40081,856,0.0209%,,
1833,减,40011,857,0.0208%,,
2122,编,39879,858,0.0208%,,
2153,楚,39846,859,0.0208%,,
884,肯,39813,860,0.0207%,,
1343,测,39752,861,0.0207%,,
918,败,39627,862,0.0206%,,
1384,屋,39588,863,0.0206%,,
1997,跑,39497,864,0.0206%,,
1740,梦,39486,865,0.0206%,,
1942,散,39336,866,0.0205%,,
2083,温,39312,867,0.0205%,,
631,困,39172,868,0.0204%,,
1276,剑,39020,869,0.0203%,,
1863,渐,39010,870,0.0203%,,
1110,封,38954,871,0.0203%,,
1747,救,38824,872,0.0202%,,
1205,贵,38668,873,0.0201%,,
851,枪,38569,874,0.0201%,,
1530,缺,38506,875,0.0201%,,
2157,楼,38463,876,0.0200%,,
620,县,38407,877,0.0200%,,
891,尚,38376,878,0.0200%,,
1834,毫,38374,879,0.0200%,,
1790,移,38349,880,0.0200%,,
1692,娘,38274,881,0.0199%,,
974,朋,38271,882,0.0199%,,
858,画,38263,883,0.0199%,,
1423,班,38130,884,0.0199%,,
2022,智,38064,885,0.0198%,,
458,亦,37960,886,0.0198%,,
330,耳,37939,887,0.0198%,,
1515,恩,37898,888,0.0197%,,
2021,短,37834,889,0.0197%,,
1984,掌,37729,890,0.0196%,,
1451,恐,37676,891,0.0196%,,
1998,遗,37619,892,0.0196%,,
904,固,37582,893,0.0196%,,
1596,席,37579,894,0.0196%,,
850,松,37563,895,0.0196%,,
1543,秘,37560,896,0.0196%,,
2107,谢,37550,897,0.0196%,,
2060,鲁,37474,898,0.0195%,,
1992,遇,37343,899,0.0194%,,
1839,康,37302,900,0.0194%,,
1501,虑,37208,901,0.0194%,,
824,幸,37198,902,0.0194%,,
560,均,36842,903,0.0192%,,
2014,销,36821,904,0.0192%,,
1230,钟,36770,905,0.0191%,,
1055,诗,36762,906,0.0191%,,
2459,藏,36704,907,0.0191%,,
1434,赶,36599,908,0.0191%,,
1684,剧,36585,909,0.0191%,,
1749,票,36459,910,0.0190%,,
1443,损,36444,911,0.0190%,,
984,忽,36378,912,0.0189%,,
95,巨,36351,913,0.0189%,,
1334,炮,36315,914,0.0189%,,
211,旧,36291,915,0.0189%,,
2332,端,36233,916,0.0189%,,
1722,探,36230,917,0.0189%,,
2080,湖,36112,918,0.0188%,,
1069,录,36080,919,0.0188%,,
217,叶,36032,920,0.0188%,,
1103,春,36027,921,0.0188%,,
69,乡,36025,922,0.0188%,,
771,附,35955,923,0.0187%,,
385,吸,35891,924,0.0187%,,
170,予,35757,925,0.0186%,,
284,礼,35612,926,0.0185%,,
2079,港,35577,927,0.0185%,,
863,雨,35370,928,0.0184%,,
626,呀,35343,929,0.0184%,,
849,板,35332,930,0.0184%,,
1307,庭,35205,931,0.0183%,,
512,妇,35188,932,0.0183%,,
213,归,35153,933,0.0183%,,
2176,睛,35082,934,0.0183%,,
698,饭,35076,935,0.0183%,,
2417,额,34823,936,0.0181%,,
682,含,34759,937,0.0181%,,
1255,顺,34708,938,0.0181%,,
2172,输,34688,939,0.0181%,,
2137,摇,34635,940,0.0180%,,
825,招,34625,941,0.0180%,,
1899,婚,34610,942,0.0180%,,
1822,脱,34548,943,0.0180%,,
747,补,34542,944,0.0180%,,
3068,谓,34527,945,0.0180%,,
2173,督,34523,946,0.0180%,,
1107,毒,34517,947,0.0180%,,
1024,油,34469,948,0.0180%,,
708,疗,34467,949,0.0180%,,
1615,旅,34384,950,0.0179%,,
1035,泽,34311,951,0.0179%,,
592,材,34237,952,0.0178%,,
204,灭,34135,953,0.0178%,,
1490,逐,34128,954,0.0178%,,
1458,莫,34097,955,0.0178%,,
1545,笔,34057,956,0.0177%,,
52,亡,33917,957,0.0177%,,
2320,鲜,33720,958,0.0176%,,
753,词,33669,959,0.0175%,,
304,圣,33620,960,0.0175%,,
829,择,33615,961,0.0175%,,
497,寻,33469,962,0.0174%,,
6,厂,33468,963,0.0174%,,
2177,睡,33420,964,0.0174%,,
1924,博,33366,965,0.0174%,,
1728,勒,33228,966,0.0173%,,
1630,烟,33137,967,0.0173%,,
1715,授,33017,968,0.0172%,,
2931,诺,32991,969,0.0172%,,
2540,伦,32822,970,0.0171%,,
911,岸,32807,971,0.0171%,,
2047,奥,32761,972,0.0171%,,
1607,唐,32757,973,0.0171%,,
864,卖,32694,974,0.0170%,,
2791,俄,32638,975,0.0170%,,
1333,炸,32540,976,0.0169%,,
1433,载,32456,977,0.0169%,,
2814,洛,32431,978,0.0169%,,
1561,健,32399,979,0.0169%,,
1760,堂,32367,980,0.0169%,,
1614,旁,32268,981,0.0168%,,
1364,宫,32179,982,0.0168%,,
2002,喝,32112,983,0.0167%,,
1549,借,32027,984,0.0167%,,
755,君,31960,985,0.0166%,,
2152,禁,31951,986,0.0166%,,
508,阴,31936,987,0.0166%,,
623,园,31925,988,0.0166%,,
1887,谋,31910,989,0.0166%,,
737,宋,31748,990,0.0165%,,
2454,避,31731,991,0.0165%,,
556,抓,31675,992,0.0165%,,
1147,荣,31662,993,0.0165%,,
1083,姑,31647,994,0.0165%,,
503,孙,31506,995,0.0164%,,
1277,逃,31468,996,0.0164%,,
96,牙,31466,997,0.0164%,,
600,束,31370,998,0.0163%,,
2187,跳,31324,999,0.0163%,,
813,顶,31318,1000,0.0163%,,
175,玉,31279,1001,0.0163%,,
2392,镇,31170,1002,0.0162%,,
1755,雪,30997,1003,0.0161%,,
111,午,30985,1004,0.0161%,,
1091,练,30963,1005,0.0161%,,
438,爷,30930,1006,0.0161%,,
949,迫,30930,1007,0.0161%,,
2400,篇,30894,1008,0.0161%,,
394,肉,30820,1009,0.0161%,,
2431,嘴,30765,1010,0.0160%,,
1831,馆,30564,1011,0.0159%,,
2103,遍,30545,1012,0.0159%,,
46,凡,30533,1013,0.0159%,,
1486,础,30477,1014,0.0159%,,
1342,洞,30399,1015,0.0158%,,
1010,卷,30343,1016,0.0158%,,
806,坦,30341,1017,0.0158%,,
112,牛,30047,1018,0.0156%,,
278,宁,30001,1019,0.0156%,,
787,纸,30001,1020,0.0156%,,
1666,诸,29957,1021,0.0156%,,
285,训,29911,1022,0.0156%,,
653,私,29700,1023,0.0155%,,
456,庄,29679,1024,0.0155%,,
1374,祖,29644,1025,0.0154%,,
311,丝,29585,1026,0.0154%,,
2479,翻,29568,1027,0.0154%,,
2381,暴,29566,1028,0.0154%,,
1957,森,29533,1029,0.0154%,,
1917,塔,29454,1030,0.0153%,,
2435,默,29432,1031,0.0153%,,
1936,握,29418,1032,0.0153%,,
516,戏,29402,1033,0.0153%,,
1898,隐,29294,1034,0.0153%,,
2408,熟,29271,1035,0.0152%,,
1228,骨,29180,1036,0.0152%,,
496,访,29134,1037,0.0152%,,
1686,弱,29129,1038,0.0152%,,
2149,蒙,29019,1039,0.0151%,,
2289,歌,28957,1040,0.0151%,,
993,店,28926,1041,0.0151%,,
1266,鬼,28916,1042,0.0151%,,
880,软,28885,1043,0.0150%,,
903,典,28860,1044,0.0150%,,
1816,欲,28856,1045,0.0150%,,
2965,萨,28804,1046,0.0150%,,
422,伙,28724,1047,0.0150%,,
2290,遭,28642,1048,0.0149%,,
1810,盘,28582,1049,0.0149%,,
962,爸,28526,1050,0.0149%,,
325,扩,28331,1051,0.0148%,,
1851,盖,28310,1052,0.0147%,,
529,弄,28205,1053,0.0147%,,
1975,雄,28184,1054,0.0147%,,
2309,稳,28031,1055,0.0146%,,
716,忘,27961,1056,0.0146%,,
42,亿,27897,1057,0.0145%,,
861,刺,27891,1058,0.0145%,,
815,拥,27833,1059,0.0145%,,
1566,徒,27812,1060,0.0145%,,
2726,姆,27808,1061,0.0145%,,
597,杨,27561,1062,0.0144%,,
460,齐,27480,1063,0.0143%,,
2346,赛,27472,1064,0.0143%,,
2359,趣,27434,1065,0.0143%,,
379,曲,27401,1066,0.0143%,,
18,刀,27292,1067,0.0142%,,
706,床,27283,1068,0.0142%,,
697,迎,27228,1069,0.0142%,,
455,冰,27201,1070,0.0142%,,
1758,虚,27076,1071,0.0141%,,
793,玩,27043,1072,0.0141%,,
848,析,27019,1073,0.0141%,,
2102,窗,26978,1074,0.0140%,,
2429,醒,26899,1075,0.0140%,,
874,妻,26847,1076,0.0140%,,
1544,透,26836,1077,0.0140%,,
920,购,26803,1078,0.0140%,,
1913,替,26687,1079,0.0139%,,
2256,塞,26590,1080,0.0138%,,
775,努,26564,1081,0.0138%,,
408,休,26539,1082,0.0138%,,
887,虎,26514,1083,0.0138%,,
328,扬,26509,1084,0.0138%,,
1572,途,26485,1085,0.0138%,,
1267,侵,26466,1086,0.0138%,,
313,刑,26453,1087,0.0138%,,
1910,绿,26414,1088,0.0138%,,
228,兄,26386,1089,0.0137%,,
499,迅,26321,1090,0.0137%,,
1489,套,26301,1091,0.0137%,,
1292,贸,26198,1092,0.0136%,,
365,毕,26148,1093,0.0136%,,
1779,唯,26041,1094,0.0136%,,
680,谷,26005,1095,0.0135%,,
879,轮,25958,1096,0.0135%,,
707,库,25924,1097,0.0135%,,
1306,迹,25920,1098,0.0135%,,
91,尤,25908,1099,0.0135%,,
1612,竞,25897,1100,0.0135%,,
2048,街,25866,1101,0.0135%,,
1258,促,25792,1102,0.0134%,,
413,延,25768,1103,0.0134%,,
2377,震,25746,1104,0.0134%,,
714,弃,25730,1105,0.0134%,,
218,甲,25620,1106,0.0133%,,
404,伟,25591,1107,0.0133%,,
1835,麻,25584,1108,0.0133%,,
41,川,25575,1109,0.0133%,,
219,申,25531,1110,0.0133%,,
2121,缓,25455,1111,0.0133%,,
2414,潜,25452,1112,0.0133%,,
271,闪,25427,1113,0.0132%,,
1804,售,25405,1114,0.0132%,,
475,灯,25401,1115,0.0132%,,
645,针,25384,1116,0.0132%,,
1445,哲,25353,1117,0.0132%,,
1413,络,25256,1118,0.0132%,,
816,抵,25228,1119,0.0131%,,
397,朱,25195,1120,0.0131%,,
2845,埃,25101,1121,0.0131%,,
819,抱,25069,1122,0.0131%,,
2133,鼓,25016,1123,0.0130%,,
1956,植,24999,1124,0.0130%,,
780,纯,24890,1125,0.0130%,,
1485,夏,24888,1126,0.0130%,,
776,忍,24862,1127,0.0129%,,
351,页,24861,1128,0.0129%,,
853,杰,24796,1129,0.0129%,,
2032,筑,24780,1130,0.0129%,,
555,折,24737,1131,0.0129%,,
1008,郑,24716,1132,0.0129%,,
107,贝,24675,1133,0.0129%,,
2075,尊,24662,1134,0.0128%,,
618,吴,24632,1135,0.0128%,,
652,秀,24620,1136,0.0128%,,
1864,混,24605,1137,0.0128%,,
340,臣,24553,1138,0.0128%,,
1977,雅,24527,1139,0.0128%,,
1432,振,24469,1140,0.0127%,,
1348,染,24444,1141,0.0127%,,
1754,盛,24387,1142,0.0127%,,
1398,怒,24374,1143,0.0127%,,
2308,舞,24360,1144,0.0127%,,
1521,圆,24267,1145,0.0126%,,
2138,搞,24265,1146,0.0126%,,
690,狂,24259,1147,0.0126%,,
2943,措,24172,1148,0.0126%,,
1085,姓,24142,1149,0.0126%,,
1178,残,24030,1150,0.0125%,,
1246,秋,24030,1151,0.0125%,,
1719,培,24009,1152,0.0125%,,
1327,迷,23959,1153,0.0125%,,
1058,诚,23947,1154,0.0125%,,
1655,宽,23918,1155,0.0125%,,
484,宇,23891,1156,0.0124%,,
1829,猛,23862,1157,0.0124%,,
2134,摆,23853,1158,0.0124%,,
1742,梅,23824,1159,0.0124%,,
2212,毁,23773,1160,0.0124%,,
660,伸,23732,1161,0.0124%,,
2409,摩,23645,1162,0.0123%,,
2182,盟,23581,1163,0.0123%,,
178,末,23526,1164,0.0123%,,
17,乃,23520,1165,0.0122%,,
1979,悲,23500,1166,0.0122%,,
811,拍,23483,1167,0.0122%,,
5,丁,23479,1168,0.0122%,,
1119,赵,23428,1169,0.0122%,,
1970,硬,23364,1170,0.0122%,,
530,麦,23271,1171,0.0121%,,
3097,蒋,23237,1172,0.0121%,,
2420,操,23193,1173,0.0121%,,
770,阻,23151,1174,0.0121%,,
156,订,22991,1175,0.0120%,,
1817,彩,22982,1176,0.0120%,,
808,抽,22937,1177,0.0119%,,
2437,赞,22909,1178,0.0119%,,
2494,魔,22835,1179,0.0119%,,
786,纷,22820,1180,0.0119%,,
1026,沿,22781,1181,0.0119%,,
1993,喊,22779,1182,0.0119%,,
536,违,22751,1183,0.0118%,,
1082,妹,22723,1184,0.0118%,,
1645,浪,22639,1185,0.0118%,,
275,汇,22608,1186,0.0118%,,
124,币,22592,1187,0.0118%,,
70,丰,22439,1188,0.0117%,,
2144,蓝,22437,1189,0.0117%,,
1492,殊,22407,1190,0.0117%,,
2151,献,22396,1191,0.0117%,,
1500,桌,22336,1192,0.0116%,,
1769,啦,22263,1193,0.0116%,,
101,瓦,22229,1194,0.0116%,,
2850,莱,22187,1195,0.0116%,,
1931,援,22180,1196,0.0116%,,
754,译,22170,1197,0.0115%,,
354,夺,22148,1198,0.0115%,,
726,汽,22098,1199,0.0115%,,
1628,烧,22078,1200,0.0115%,,
1772,距,21970,1201,0.0114%,,
1932,裁,21918,1202,0.0114%,,
1806,偏,21877,1203,0.0114%,,
1794,符,21862,1204,0.0114%,,
1402,勇,21819,1205,0.0114%,,
2227,触,21719,1206,0.0113%,,
1674,课,21705,1207,0.0113%,,
1948,敬,21646,1208,0.0113%,,
1514,哭,21444,1209,0.0112%,,
2416,懂,21117,1210,0.0110%,,
2271,墙,21101,1211,0.0110%,,
299,召,21098,1212,0.0110%,,
1753,袭,21098,1213,0.0110%,,
1225,罚,21011,1214,0.0109%,,
2685,侠,20999,1215,0.0109%,,
85,厅,20989,1216,0.0109%,,
1236,拜,20978,1217,0.0109%,,
182,巧,20964,1218,0.0109%,,
942,侧,20960,1219,0.0109%,,
3099,韩,20947,1220,0.0109%,,
1198,冒,20917,1221,0.0109%,,
1548,债,20902,1222,0.0109%,,
2984,曼,20897,1223,0.0109%,,
2428,融,20883,1224,0.0109%,,
1881,惯,20880,1225,0.0109%,,
992,享,20830,1226,0.0108%,,
2456,戴,20826,1227,0.0108%,,
2069,童,20813,1228,0.0108%,,
691,犹,20747,1229,0.0108%,,
1535,乘,20731,1230,0.0108%,,
1109,挂,20706,1231,0.0108%,,
1301,奖,20690,1232,0.0108%,,
1099,绍,20681,1233,0.0108%,,
1171,厚,20624,1234,0.0107%,,
785,纵,20599,1235,0.0107%,,
2262,障,20503,1236,0.0107%,,
288,讯,20488,1237,0.0107%,,
1636,涉,20482,1238,0.0107%,,
674,彻,20461,1239,0.0107%,,
176,刊,20458,1240,0.0107%,,
31,丈,20372,1241,0.0106%,,
2486,爆,20340,1242,0.0106%,,
146,乌,20291,1243,0.0106%,,
675,役,20254,1244,0.0105%,,
1706,描,20247,1245,0.0105%,,
1344,洗,20229,1246,0.0105%,,
2560,玛,20207,1247,0.0105%,,
1778,患,20203,1248,0.0105%,,
772,妙,20165,1249,0.0105%,,
2436,镜,20100,1250,0.0105%,,
1777,唱,20085,1251,0.0105%,,
1627,烦,20076,1252,0.0105%,,
2210,签,20057,1253,0.0104%,,
242,仙,20051,1254,0.0104%,,
955,彼,20021,1255,0.0104%,,
1600,症,19878,1256,0.0104%,,
421,仿,19870,1257,0.0103%,,
1552,倾,19849,1258,0.0103%,,
2041,牌,19752,1259,0.0103%,,
1689,陷,19703,1260,0.0103%,,
264,鸟,19698,1261,0.0103%,,
875,轰,19670,1262,0.0102%,,
1217,咱,19554,1263,0.0102%,,
1733,菜,19516,1264,0.0102%,,
468,闭,19515,1265,0.0102%,,
870,奋,19499,1266,0.0102%,,
457,庆,19487,1267,0.0101%,,
2364,撤,19485,1268,0.0101%,,
1023,泪,19411,1269,0.0101%,,
1143,茶,19404,1270,0.0101%,,
1602,疾,19402,1271,0.0101%,,
2124,缘,19330,1272,0.0101%,,
2362,播,19327,1273,0.0101%,,
1665,朗,19288,1274,0.0100%,,
591,杜,19246,1275,0.0100%,,
296,奶,19219,1276,0.0100%,,
932,季,19211,1277,0.0100%,,
144,丹,19171,1278,0.0100%,,
985,狗,19093,1279,0.0099%,,
760,尾,19076,1280,0.0099%,,
244,仪,19064,1281,0.0099%,,
1802,偷,19006,1282,0.0099%,,
868,奔,18989,1283,0.0099%,,
1422,珠,18916,1284,0.0099%,,
378,虫,18909,1285,0.0098%,,
1097,驻,18901,1286,0.0098%,,
165,孔,18890,1287,0.0098%,,
1046,宜,18833,1288,0.0098%,,
2511,艾,18825,1289,0.0098%,,
1469,桥,18815,1290,0.0098%,,
1868,淡,18779,1291,0.0098%,,
2473,翼,18710,1292,0.0097%,,
1359,恨,18702,1293,0.0097%,,
2466,繁,18699,1294,0.0097%,,
2098,寒,18684,1295,0.0097%,,
669,伴,18678,1296,0.0097%,,
233,叹,18587,1297,0.0097%,,
215,旦,18569,1298,0.0097%,,
2220,愈,18540,1299,0.0097%,,
2415,潮,18532,1300,0.0097%,,
2235,粮,18528,1301,0.0096%,,
2355,缩,18495,1302,0.0096%,,
1519,罢,18492,1303,0.0096%,,
2280,聚,18458,1304,0.0096%,,
956,径,18428,1305,0.0096%,,
1357,恰,18420,1306,0.0096%,,
1125,挑,18417,1307,0.0096%,,
1798,袋,18381,1308,0.0096%,,
355,灰,18298,1309,0.0095%,,
1431,捕,18236,1310,0.0095%,,
1567,徐,18175,1311,0.0095%,,
1105,珍,18144,1312,0.0094%,,
2146,幕,18138,1313,0.0094%,,
1199,映,18102,1314,0.0094%,,
1974,裂,18093,1315,0.0094%,,
1421,泰,18069,1316,0.0094%,,
2115,隔,18056,1317,0.0094%,,
745,启,18041,1318,0.0094%,,
371,尖,18036,1319,0.0094%,,
905,忠,18021,1320,0.0094%,,
1776,累,18017,1321,0.0094%,,
1015,炎,17971,1322,0.0094%,,
1976,暂,17968,1323,0.0094%,,
656,估,17943,1324,0.0093%,,
728,泛,17928,1325,0.0093%,,
1144,荒,17924,1326,0.0093%,,
1800,偿,17919,1327,0.0093%,,
2370,横,17912,1328,0.0093%,,
544,拒,17892,1329,0.0093%,,
2125,瑞,17869,1330,0.0093%,,
155,忆,17829,1331,0.0093%,,
1078,孤,17817,1332,0.0093%,,
2314,鼻,17773,1333,0.0093%,,
1007,闹,17764,1334,0.0093%,,
471,羊,17763,1335,0.0093%,,
622,呆,17746,1336,0.0092%,,
198,厉,17726,1337,0.0092%,,
2440,衡,17719,1338,0.0092%,,
1282,胞,17702,1339,0.0092%,,
2169,零,17675,1340,0.0092%,,
741,穷,17672,1341,0.0092%,,
958,舍,17647,1342,0.0092%,,
866,码,17626,1343,0.0092%,,
3278,赫,17613,1344,0.0092%,,
1870,婆,17603,1345,0.0092%,,
2126,魂,17535,1346,0.0091%,,
742,灾,17531,1347,0.0091%,,
1338,洪,17526,1348,0.0091%,,
2226,腿,17509,1349,0.0091%,,
1280,胆,17486,1350,0.0091%,,
1354,津,17470,1351,0.0091%,,
1261,俗,17463,1352,0.0091%,,
2446,辩,17459,1353,0.0091%,,
1580,胸,17392,1354,0.0091%,,
1507,晓,17316,1355,0.0090%,,
777,劲,17307,1356,0.0090%,,
118,仁,17263,1357,0.0090%,,
968,贫,17263,1358,0.0090%,,
1801,偶,17246,1359,0.0090%,,
3210,辑,17169,1360,0.0089%,,
2525,邦,17153,1361,0.0089%,,
1356,恢,17123,1362,0.0089%,,
2159,赖,17123,1363,0.0089%,,
1783,圈,17115,1364,0.0089%,,
2129,摸,17067,1365,0.0089%,,
420,仰,16940,1366,0.0088%,,
1644,润,16922,1367,0.0088%,,
1712,堆,16920,1368,0.0088%,,
2165,碰,16919,1369,0.0088%,,
2052,艇,16868,1370,0.0088%,,
2026,稍,16855,1371,0.0088%,,
761,迟,16808,1372,0.0088%,,
1757,辆,16767,1373,0.0087%,,
1000,废,16754,1374,0.0087%,,
1001,净,16751,1375,0.0087%,,
134,凶,16707,1376,0.0087%,,
3228,署,16641,1377,0.0087%,,
2453,壁,16588,1378,0.0086%,,
2050,御,16586,1379,0.0086%,,
792,奉,16453,1380,0.0086%,,
1847,旋,16441,1381,0.0086%,,
263,冬,16368,1382,0.0085%,,
865,矿,16360,1383,0.0085%,,
830,抬,16315,1384,0.0085%,,
1896,蛋,16305,1385,0.0085%,,
1763,晨,16235,1386,0.0085%,,
410,伏,16181,1387,0.0084%,,
637,吹,16180,1388,0.0084%,,
778,鸡,16164,1389,0.0084%,,
1559,倍,16102,1390,0.0084%,,
2412,糊,16098,1391,0.0084%,,
2834,秦,16088,1392,0.0084%,,
1270,盾,16080,1393,0.0084%,,
846,杯,16068,1394,0.0084%,,
1538,租,16052,1395,0.0084%,,
1905,骑,16037,1396,0.0084%,,
136,乏,16010,1397,0.0083%,,
1897,隆,15979,1398,0.0083%,,
752,诊,15931,1399,0.0083%,,
297,奴,15917,1400,0.0083%,,
2128,摄,15801,1401,0.0082%,,
856,丧,15731,1402,0.0082%,,
478,污,15696,1403,0.0082%,,
2087,渡,15692,1404,0.0082%,,
2333,旗,15665,1405,0.0082%,,
189,甘,15654,1406,0.0082%,,
1175,耐,15629,1407,0.0081%,,
943,凭,15619,1408,0.0081%,,
80,扎,15600,1409,0.0081%,,
558,抢,15596,1410,0.0081%,,
1903,绪,15571,1411,0.0081%,,
1853,粗,15557,1412,0.0081%,,
1056,肩,15528,1413,0.0081%,,
1871,梁,15387,1414,0.0080%,,
174,幻,15371,1415,0.0080%,,
2959,菲,15365,1416,0.0080%,,
1182,皆,15357,1417,0.0080%,,
2164,碎,15334,1418,0.0080%,,
1048,宙,15331,1419,0.0080%,,
883,叔,15310,1420,0.0080%,,
912,岩,15279,1421,0.0080%,,
1146,荡,15268,1422,0.0080%,,
3077,综,15258,1423,0.0079%,,
954,爬,15255,1424,0.0079%,,
1459,荷,15249,1425,0.0079%,,
1815,悉,15234,1426,0.0079%,,
3098,蒂,15183,1427,0.0079%,,
676,返,15179,1428,0.0079%,,
72,井,15158,1429,0.0079%,,
453,壮,15151,1430,0.0079%,,
2424,薄,15150,1431,0.0079%,,
1651,悄,15141,1432,0.0079%,,
326,扫,15140,1433,0.0079%,,
1796,敏,15135,1434,0.0079%,,
2162,碍,15121,1435,0.0079%,,
1973,殖,15118,1436,0.0079%,,
1066,详,15099,1437,0.0079%,,
307,矛,15059,1438,0.0078%,,
3403,霍,15034,1439,0.0078%,,
169,允,15027,1440,0.0078%,,
2006,幅,15021,1441,0.0078%,,
2358,撒,15003,1442,0.0078%,,
2025,剩,14996,1443,0.0078%,,
917,凯,14990,1444,0.0078%,,
2299,颗,14987,1445,0.0078%,,
1215,骂,14976,1446,0.0078%,,
1983,赏,14946,1447,0.0078%,,
1867,液,14940,1448,0.0078%,,
2054,番,14927,1449,0.0078%,,
2398,箱,14913,1450,0.0078%,,
1227,贴,14888,1451,0.0078%,,
2340,漫,14869,1452,0.0077%,,
2293,酸,14855,1453,0.0077%,,
1054,郎,14845,1454,0.0077%,,
2222,腰,14841,1455,0.0077%,,
2053,舒,14833,1456,0.0077%,,
1388,眉,14763,1457,0.0077%,,
734,忧,14753,1458,0.0077%,,
1642,浮,14717,1459,0.0077%,,
713,辛,14713,1460,0.0077%,,
1591,恋,14674,1461,0.0076%,,
2430,餐,14641,1462,0.0076%,,
377,吓,14620,1463,0.0076%,,
1121,挺,14615,1464,0.0076%,,
606,励,14512,1465,0.0076%,,
2206,辞,14439,1466,0.0075%,,
2405,艘,14438,1467,0.0075%,,
2203,键,14434,1468,0.0075%,,
409,伍,14425,1469,0.0075%,,
1520,峰,14424,1470,0.0075%,,
161,尺,14422,1471,0.0075%,,
1201,昨,14406,1472,0.0075%,,
2395,黎,14389,1473,0.0075%,,
1978,辈,14384,1474,0.0075%,,
1101,贯,14361,1475,0.0075%,,
941,侦,14329,1476,0.0075%,,
2085,滑,14303,1477,0.0074%,,
1009,券,14293,1478,0.0074%,,
1782,崇,14262,1479,0.0074%,,
543,扰,14252,1480,0.0074%,,
1365,宪,14251,1481,0.0074%,,
1409,绕,14172,1482,0.0074%,,
1920,趋,14160,1483,0.0074%,,
2239,慈,14141,1484,0.0074%,,
403,乔,14107,1485,0.0073%,,
1617,阅,14067,1486,0.0073%,,
477,汗,14011,1487,0.0073%,,
845,枝,13982,1488,0.0073%,,
810,拖,13973,1489,0.0073%,,
2391,墨,13959,1490,0.0073%,,
978,胁,13948,1491,0.0073%,,
1927,插,13938,1492,0.0073%,,
2399,箭,13922,1493,0.0073%,,
2057,腊,13892,1494,0.0072%,,
1031,泥,13874,1495,0.0072%,,
1621,粉,13874,1496,0.0072%,,
140,氏,13868,1497,0.0072%,,
3089,彭,13866,1498,0.0072%,,
803,拔,13865,1499,0.0072%,,
2123,骗,13854,1500,0.0072%,,
147,凤,13817,1501,0.0072%,,
2356,慧,13810,1502,0.0072%,,
3179,媒,13802,1503,0.0072%,,
945,佩,13784,1504,0.0072%,,
2091,愤,13749,1505,0.0072%,,
184,扑,13748,1506,0.0072%,,
2174,龄,13733,1507,0.0072%,,
779,驱,13692,1508,0.0071%,,
1874,惜,13687,1509,0.0071%,,
1708,掩,13680,1510,0.0071%,,
2325,豪,13680,1511,0.0071%,,
1624,兼,13656,1512,0.0071%,,
1773,跃,13645,1513,0.0071%,,
56,尸,13609,1514,0.0071%,,
1068,肃,13581,1515,0.0071%,,
2678,帕,13566,1516,0.0071%,,
1094,驶,13537,1517,0.0070%,,
2042,堡,13533,1518,0.0070%,,
1072,届,13521,1519,0.0070%,,
